term
(high-dose cytarabine/filgrastim/fludarabine/gemtuzumab ozogamicin/idarubicin regimen
bortezomib/dexamethasone/venetoclax regimen
bortezomib/doxorubicin/dexamethasone regimen
bortezomib/ice plus rituximab regimen
bortezomib/lenalidomide regimen
bortezomib/lenalidomide/dexamethasone plus daratumumab regimen
bortezomib/liposomal doxorubicin regimen
bortezomib/melphalan/prednisone/thalidomide regimen
bortezomib/rituximab regimen
bortezomib/thalidomide/dexamethasone plus daratumumab regimen
bortezomib/thalidomide/dexamethasone regimen
bosulif regimen
bosutinib regimen
br regimen
br-ibrutinib regimen
braftovi regimen
brecadd regimen
brentuximab vedotin plus avd regimen
brentuximab vedotin regimen
brentuximab vedotin with avepc regimen
brentuximab vedotin with chp regimen
brentuximab vedotin/avd regimen
brentuximab vedotin/bendamustine regimen
brentuximab vedotin/cyclophosphamide/doxorubicin/etoposide/prednisone/vincristine regimen
brentuximab vedotin/cyclophosphamide/doxorubicin/prednisone regimen
brentuximab vedotin/dacarbazine regimen
brentuximab vedotin/dacarbazine/doxorubicin/vinblastine regimen
brentuximab vedotin/lenalidomide/rituximab regimen
brentuximab vedotin/nivolumab regimen
brexucabtagene autoleucel regimen
breyanzi regimen
brief protocol title
brief rationale for protocol change
brief rationale for protocol modification
brief rationale for protocol revision
brigatinib regimen
bromocyclen
brukinsa regimen
btg cell cycle regulation pathway
btg family proteins and cell cycle regulation
bumel regimen
busulfan-cyclophosphamide-etoposide regimen
busulfan-cyclophosphamide-thiotepa regimen
busulfan-melphalan regimen
busulfan/cyclophosphamide/etoposide regimen
busulfan/cyclophosphamide/thiotepa regimen
busulfan/fludarabine/thiotepa regimen
busulfan/melphalan regimen
bv regimen
bv-avd regimen
bv-ave-pc regimen
bv-avepc regimen
bv-chp regimen
bv-ice regimen
bvam regimen
bvd regimen
bvp regimen
ca regimen
cabazitaxel regimen
cabazitaxel-prednisone regimen
cabazitaxel/carboplatin/prednisone regimen
cabazitaxel/prednisone regimen
cabo regimen
cabometyx regimen
cabozantinib regimen
cabozantinib s-malate regimen
cabozantinib/nivolumab and recombinant human hyaluronidase regimen
cabozantinib/nivolumab regimen
cac regimen
cae regimen
caf regimen
cafp regimen
cafth regimen
cafvp regimen
calaspargase pegol regimen
calaspargase pegol-mknl regimen
calgb 9251 regimen
calgb-c9710 regimen
calquence regimen
calquence/gazyva/venclexta regimen
calquence/venclexta regimen
camcevi regimen
cameleon regimen
camp protocol
camp regimen
campath regimen
campath/nipent regimen
camptosar every 14 days regimen
camptosar regimen
cancer biologics and immunotherapy for brain tumors
cancer chemotherapy national service center number
cancer immunotherapy
cap regimen
capecitabine regimen
capecitabine-bevacizumab regimen
capecitabine-cetuximab regimen
capecitabine-cisplatin regimen
capecitabine-cisplatin-epirubicin regimen
capecitabine-docetaxel regimen
capecitabine-epirubicin-oxaliplatin regimen
capecitabine-gemcitabine regimen
capecitabine-margetuximab regimen
capecitabine-methotrexate-vinorelbine regimen
capecitabine-mitomycin regimen
capecitabine-oxaliplatin regimen
capecitabine-oxaliplatin-bevacizumab regimen
capecitabine-oxaliplatin-pembrolizumab regimen
capecitabine-panitumumab regimen
capecitabine-temozolomide regimen
capecitabine-trastuzumab regimen
capecitabine-trastuzumab-tucatinib regimen
capecitabine/bevacizumab regimen
capecitabine/cetuximab regimen
capecitabine/cisplatin regimen
capecitabine/cisplatin/epirubicin regimen
capecitabine/cisplatin/keytruda/herceptin regimen
capecitabine/cisplatin/nivolumab regimen
capecitabine/cisplatin/pembrolizumab regimen
capecitabine/cisplatin/pembrolizumab/trastuzumab regimen
capecitabine/cisplatin/tislelizumab regimen
capecitabine/cisplatin/tislelizumab-jsgr regimen
capecitabine/cisplatin/trastuzumab regimen
capecitabine/docetaxel regimen
capecitabine/epirubicin/oxaliplatin regimen
capecitabine/gemcitabine regimen
